Grctri;Cousig;Grccod;Grccodtypgrpcou;Grcnbrpladis;Grcnbrplapse
20043;AE3400;01;C;20;24
20043;AE3400;01;L;20;24
20043;AE4000;01;C;30;30
20043;CIV1101;01;C;45;45
20043;CIV1101;02;C;45;45
20043;CIV1101;01;L;30;30
20043;CIV1101;02;L;30;30
20043;CIV1101;03;L;30;30
20043;CIV2103;01;C;48;48
20043;CIV2103;01;L;48;48
20043;CIV2105;02;L;40;40
20043;CIV3301;01;L;28;28
20043;CIV3301;02;L;28;28
20043;CIV3502;01;C;80;80
20043;CIV3502;01;L;40;40
20043;CIV3502;02;L;40;40
20043;CIV3503;01;C;75;78
20043;CIV3503;01;L;75;78
20043;CIV6904;01;C;10;10
20043;ELE1400;01;C;60;60
20043;ELE2300;01;C;66;66
20043;ELE2300;01;L;22;22
20043;ELE2300;02;L;22;22
20043;ELE2300;03;L;22;22
20043;ELE2301;01;C;36;36
20043;ELE2301;01;L;36;36
20043;ELE2400;02;L;18;18
20043;ELE2602;01;L;36;36
20043;ELE3100;02;C;40;40
20043;ELE3100;03;L;20;20
20043;ELE3200;01;C;100;100
20043;ELE3200;01;L;20;20
20043;ELE3200;02;L;20;20
20043;ELE3200;03;L;20;20
20043;ELE3200;04;L;20;20
20043;ELE3200;05;L;20;20
20043;ELE3201;02;L;20;20
20043;ELE3202;01;L;20;20
20043;ELE3202;02;L;20;20
20043;ELE3300;01;L;30;30
20043;ELE3300;03;L;30;30
20043;ELE3301;01;C;30;30
20043;ELE3301;01;L;16;16
20043;ELE3301;02;L;16;16
20043;ELE3301;05;L;16;16
20043;ELE3400;01;C;66;66
20043;ELE3400;01;L;22;22
20043;ELE3400;02;L;22;22
20043;ELE3400;03;L;22;22
20043;ELE3700;01;C;60;68
20043;ELE3700;01;L;40;41
20043;ELE3700;02;L;40;40
20043;ELE3700;03;L;40;41
20043;ELE3701;01;C;50;50
20043;ELE3701;02;C;50;50
20043;ELE3701;01;L;20;20
20043;ELE3701;02;L;20;20
20043;ELE3701;03;L;20;20
20043;ELE3701;04;L;20;20
20043;ELE3701;05;L;20;20
20043;ELE3702;01;C;41;41
20043;ELE3702;01;L;41;41
20043;ELE4202;02;L;9;9
20043;ELE4202;03;L;9;9
20043;ELE4202;04;L;9;9
20043;ELE4203;01;C;60;60
20043;ELE4203;01;L;10;10
20043;ELE4203;02;L;10;10
20043;ELE4203;03;L;10;10
20043;ELE4203;04;L;10;10
20043;ELE4203;05;L;10;10
20043;ELE4203;06;L;10;10
20043;ELE4301;01;L;15;15
20043;ELE4301;02;L;15;15
