Seecod;Cousig;Grccod;Counbrcdt;Locnbrpla;Pernum;Loccod;Grccodtypgrpcou;Coufrqlab;Grccodprt;Remcodtypcou;Couabgitt;Grcnbrpladis;Perjousem;Perhredeb
BA;AE3300;01;1,00;21;31;B-403;C;A;;T;AERODYNAMIQUE DE L'AVION I;15;MER;0830
BA;AE3300;01;1,00;21;32;B-403;C;A;;T;AERODYNAMIQUE DE L'AVION I;15;MER;0930
BA;AE3300;01;1,00;21;33;B-403;C;A;;T;AERODYNAMIQUE DE L'AVION I;15;MER;1030
BA;AE3400;01;3,00;27;41;B-600.7;C;B;;TL;COMMANDE DE VOL;20;JEU;0830
BA;AE3400;01;3,00;27;42;B-600.7;C;B;;TL;COMMANDE DE VOL;20;JEU;0930
BA;AE3400;01;3,00;27;43;B-600.7;C;B;;TL;COMMANDE DE VOL;20;JEU;1030
BA;AE3400;01;3,00;30;51;A-431;L;B;I;TL;COMMANDE DE VOL;20;VEN;0830
BA;AE3400;01;3,00;30;52;A-431;L;B;I;TL;COMMANDE DE VOL;20;VEN;0930
BA;AE3400;01;3,00;30;53;A-431;L;B;I;TL;COMMANDE DE VOL;20;VEN;1030
BA;AE4000;01;2,00;56;57;A-609;C;A;;T;POLITIQUE DROIT AEROSPATIAL;30;VEN;1445
BA;AE4000;01;2,00;56;58;A-609;C;A;;T;POLITIQUE DROIT AEROSPATIAL;30;VEN;1545
BA;AE4000;01;2,00;56;59;A-609;C;A;;T;POLITIQUE DROIT AEROSPATIAL;30;VEN;1645
BA;AE4150;01;2,00;41;37;B-638;C;A;;T;ANAL. CONTRAINTES AERONAUT. I;25;MER;1445
BA;AE4150;01;2,00;41;38;B-638;C;A;;T;ANAL. CONTRAINTES AERONAUT. I;25;MER;1545
BA;AE4150;01;2,00;41;39;B-638;C;A;;T;ANAL. CONTRAINTES AERONAUT. I;25;MER;1645
BA;AE4340;01;2,00;43;22;A-401;C;A;;T;ANALYSE DES PERFORMANCES;35;MAR;0930
BA;AE4340;01;2,00;43;23;A-401;C;A;;T;ANALYSE DES PERFORMANCES;35;MAR;1030
BA;AE4340;01;2,00;43;24;A-401;C;A;;T;ANALYSE DES PERFORMANCES;35;MAR;1130
BA;AE4500;01;3,00;25;47;A-208;C;B;;TL;INFORMATIQUE EMBARQUEE;20;JEU;1445
BA;AE4500;01;3,00;25;48;A-208;C;B;;TL;INFORMATIQUE EMBARQUEE;20;JEU;1545
BA;AE4500;01;3,00;25;49;A-208;C;B;;TL;INFORMATIQUE EMBARQUEE;20;JEU;1645
BA;AE4500;01;3,00;25;21;A-429.4;L;B;P;TL;INFORMATIQUE EMBARQUEE;20;MAR;0830
BA;AE4500;01;3,00;25;22;A-429.4;L;B;P;TL;INFORMATIQUE EMBARQUEE;20;MAR;0930
BA;AE4500;01;3,00;25;23;A-429.4;L;B;P;TL;INFORMATIQUE EMBARQUEE;20;MAR;1030
BA;AE4640;01;2,00;41;2C0;B-638;C;A;;T;STABIL.  CONTROLE DE L'AVION;35;MAR;1900
BA;AE4640;01;2,00;41;2D0;B-638;C;A;;T;STABIL.  CONTROLE DE L'AVION;35;MAR;2000
BA;AE4640;01;2,00;41;2E0;B-638;C;A;;T;STABIL.  CONTROLE DE L'AVION;35;MAR;2100
BA;AE4710;01;2,00;41;31;B-638;C;A;;T;AVIONIQUE;20;MER;0830
BA;AE4710;01;2,00;41;32;B-638;C;A;;T;AVIONIQUE;20;MER;0930
BA;AE4710;01;2,00;41;33;B-638;C;A;;T;AVIONIQUE;20;MER;1030
BA;AE5950;01;3,00;60;28;DEPT3.1;L;H;;L;PROJET FIN D'ET. EN AVIONIQUE;20;MAR;1545
BA;AE5950;01;3,00;60;29;DEPT3.1;L;H;;L;PROJET FIN D'ET. EN AVIONIQUE;20;MAR;1645
BA;AE5980;01;3,00;60;28;DEPT2.1;L;H;;L;PROJET FIN D'ET. AERONAUTIQUE;10;MAR;1545
BA;AE5980;01;3,00;60;29;DEPT2.1;L;H;;L;PROJET FIN D'ET. AERONAUTIQUE;10;MAR;1645
BA;CHE0501;01;3,00;66;31;B-411;C;H;;TL;CHIMIE GENERALE;60;MER;0830
BA;CHE0501;01;3,00;66;32;B-411;C;H;;TL;CHIMIE GENERALE;60;MER;0930
BA;CHE0501;01;3,00;63;41;A-621;L;H;;TL;CHIMIE GENERALE;60;JEU;0830
BA;CHE0501;01;3,00;63;42;A-621;L;H;;TL;CHIMIE GENERALE;60;JEU;0930
BA;CHE0501;02;3,00;66;33;B-411;C;H;;TL;CHIMIE GENERALE;60;MER;1030
BA;CHE0501;02;3,00;66;34;B-411;C;H;;TL;CHIMIE GENERALE;60;MER;1130
BA;CHE0501;02;3,00;63;43;A-621;L;H;;TL;CHIMIE GENERALE;60;JEU;1030
BA;CHE0501;02;3,00;63;44;A-621;L;H;;TL;CHIMIE GENERALE;60;JEU;1130
BA;CIV1101;01;3,00;48;41;B-618;C;H;;TLS;GEOMETRONIQUE;45;JEU;0830
BA;CIV1101;01;3,00;48;42;B-618;C;H;;TLS;GEOMETRONIQUE;45;JEU;0930
BA;CIV1101;01;3,00;48;43;B-618;C;H;;TLS;GEOMETRONIQUE;45;JEU;1030
BA;CIV1101;01;3,00;65;15;B-431.3;L;H;;TLS;GEOMETRONIQUE;30;LUN;1245
BA;CIV1101;01;3,00;65;16;B-431.3;L;H;;TLS;GEOMETRONIQUE;30;LUN;1345
BA;CIV1101;01;3,00;65;17;B-431.3;L;H;;TLS;GEOMETRONIQUE;30;LUN;1445
BA;CIV1101;02;3,00;50;36;C-632;C;H;;TLS;GEOMETRONIQUE;45;MER;1345
BA;CIV1101;02;3,00;50;37;C-632;C;H;;TLS;GEOMETRONIQUE;45;MER;1445
BA;CIV1101;02;3,00;50;38;C-632;C;H;;TLS;GEOMETRONIQUE;45;MER;1545
